Verb_from_#e      	PoS_from_#e       	Rukai_gloss                 	Eng_gloss
carry             	VB,VBP            	w-a-il-il-iluku.\           	ACT-RLS-RED-RED-carry
catch             	VB                	alra=nga                    	catch=PFV
catch             	VB                	lri-pualrasu                	FUT-catch
catch             	VB                	sana-garauraucu             	want-catch
ceremony          	VB                	pu-cavili=nga.\             	put-ceremony=PFV
ceremony          	VB                	ta-pu-cavi-cavil-ane        	NMLZ-put-RED-ceremony-NMLZ
ceremony          	VB                	tu-a-lrisi-lrisi            	TU-RLS-RED-ceremony
ceremony          	VB                	tu-lrisi                    	do-ceremony
change            	VBP               	ma-kaela                    	STAT.RLS-change
chase             	VB,VBD            	ki-a-saladha-ladha          	PASS-RLS-chase-RED
chase             	VB,VBD            	kulri-kulri                 	RED-chase
chase             	VB,VBD            	kur-kuri                    	RED-chase
chase             	VB,VBD            	kurisi                      	chase
chase             	VB,VBD            	lu-ki-a-saladha-ladha       	when-PASS-RLS-chase-RED
child             	JJ                	la-lalake=ini               	PL-child=3SG.GEN
child             	JJ                	la-vavalake                 	PL-child
child             	JJ                	la-vavalake                 	P-child
child             	JJ                	la-vavalake,\               	PL-child
child             	JJ                	la-vavalake-ane             	P-child-NMLZ
child             	JJ                	la-vavalake.\               	PL-child
child             	JJ                	la-vavalake=nay             	P-child=1P(EX).BN
child             	JJ                	la=vavalake.\               	PL-child
child             	JJ                	lalake=ini                  	child=3SG.GEN
child             	JJ                	tu-lalake=su                	do-child=2S.BN
child             	JJ                	vavalake                    	child
child             	JJ                	vavalake,/                  	child
child             	JJ                	vavalake,\                  	child
child             	JJ                	vavalake,_                  	child
child             	JJ                	vavalake.\                  	child
child             	JJ                	vavalake=na                 	child=3S.BG
child             	JJ                	vavaleke                    	child
church            	VB                	kiukai                      	church
church            	VB                	mu-kiukai                   	go-church
church            	VB                	u-kiukai                    	go-church
civilian          	JJ                	lakau^kaulu,\               	civilian
civilian          	JJ                	lakaukaulu                  	civilian
civilian          	JJ                	lakaukaulu-ane.\            	civilian-NMLZ
civilian          	JJ                	lakaukaulu==                	civilian
civilian          	JJ                	pingmin                     	civilian
clean             	VB                	lripesele                   	clean
cold              	JJ                	mararengece                 	cold
come              	VBN,VB,VBP,VBD    	a-ki-kela-ane               	NMLZ-KI-come-NMLZ
come              	VBN,VB,VBP,VBD    	buala==                     	come
come              	VBN,VB,VBP,VBD    	i-kela                      	FUT-come
come              	VBN,VB,VBP,VBD    	i-kela                      	I-come
come              	VBN,VB,VBP,VBD    	ikela                       	come
come              	VBN,VB,VBP,VBD    	kainganai                   	come
come              	VBN,VB,VBP,VBD    	kainganay==                 	come
come              	VBN,VB,VBP,VBD    	kay<nga><nga>nganay         	<RED><RED>come
come              	VBN,VB,VBP,VBD    	kay<ngana>nganay            	<RED>come
come              	VBN,VB,VBP,VBD    	kayngalay                   	come
come              	VBN,VB,VBP,VBD    	kayngana-nganay             	come-RED
come              	VBN,VB,VBP,VBD    	kaynganay                   	come
come              	VBN,VB,VBP,VBD    	kela                        	come
come              	VBN,VB,VBP,VBD    	kela-ane                    	come-NMLZ
come              	VBN,VB,VBP,VBD    	kela-kela-nga               	RED-come-PFV
come              	VBN,VB,VBP,VBD    	kela-kela=numi?\            	RED-come=2P.BN
come              	VBN,VB,VBP,VBD    	kela=nga                    	come=PFV
come              	VBN,VB,VBP,VBD    	kela=numi                   	come=2P.BN
come              	VBN,VB,VBP,VBD    	sa-kela                     	when-come
come              	VBN,VB,VBP,VBD    	ta-kela-ane=lini            	LOC-come-NMLZ=3P.BG
come              	VBN,VB,VBP,VBD    	w-a-kela                    	ACT-RLS-come
come              	VBN,VB,VBP,VBD    	w-a-kela-kela               	ACT-RLS-RED-come
come              	VBN,VB,VBP,VBD    	wa-kela                     	RLS-come
come              	VBN,VB,VBP,VBD    	wa-kela-kela                	RLS-RED-come
commiserate       	VBP               	ka-kuru-a                   	STAT.IRR-commiserate-IMP
compete           	JJ                	maka-<lrua>-lrumale         	RECP-<RED>-compete
cook              	VB,VBD            	wa-aga                      	RLS-cook
count             	VBD               	asi-asipi                   	RED-count
count             	VBD               	ki<sai><sai>sange           	<RED><RED>count
create            	VB,VBP            	tasu-naga-nagane=ta         	create-RED-name=1P(IN).BN
dance             	VB                	dralray                     	dance
dance             	VB                	maka-dralray,_              	REC-dance
decent            	JJ                	mu-a-lecege                 	go-RLS-decent
decent            	JJ                	mu-a-lecege,_               	go-RLS-decent
decent            	JJ                	mu-a-lecege.\               	go-RLS-decent
different         	JJ                	ka-ela                      	different
different         	JJ                	lamakaela                   	different
different         	JJ                	ma-elane                    	STAT.RLS-different
different         	JJ                	ma-kaela                    	STAT.RLS-different
different         	JJ                	ma-kaela-ela                	STAT.RLS-different-RED
different         	JJ                	ma-kaela.\                  	STAT.IRR-different
different         	JJ                	ma-kaela.\                  	STAT.RLS-different
different         	JJ                	ma-kaelaela                 	STAT.RLS-different
different         	JJ                	maela                       	different
different         	JJ                	ta-makaela-ane=ta,\         	NMLZ-different-NMLZ=1P(IN).BG
discuss           	VB,VBZ            	peaelaela                   	discuss
discussed         	VBN,VBD           	<L2Mjianghao                	discussed
do                	VB,VBP            	a-tu-mane-ane               	A-do-anything-NMLZ
do                	VB,VBP            	apiane                      	do
do                	VB,VBP            	lri-tu-bava                 	FUT-do-liquor
do                	VB,VBP            	lri-tu-gaku=nay             	FUT-do-school=1P(EX).BN
do                	VB,VBP            	pa-iya-iya                  	CAUS-RED-do
do                	VB,VBP            	paiya                       	do
do                	VB,VBP            	pi-a                        	do-REAL
do                	VB,VBP            	pi-ane                      	do-NMLZ
do                	VB,VBP            	sa-pia                      	when-do
do                	VB,VBP            	sa-tu-lreveke-ane           	SA-do-millet-NMLZ
do                	VB,VBP            	ta-pi-ane=ini               	NMZ-do-NMZ=3S.BG
do                	VB,VBP            	ta-pia-ane=ini              	LOC-do-NMLZ=3S.BG
do                	VB,VBP            	taka                        	do
do                	VB,VBP            	tu-a-lrepenge=aku           	do-RLS-all=1S.BN
do                	VB,VBP            	tu-a-sinalreme-ne           	do-RLS-scorn-FS
do                	VB,VBP            	tu-a-tumane                 	do-RLS-do.things
do                	VB,VBP            	tu-apui                     	do-fire
do                	VB,VBP            	tu-apui=aku                 	do-fire=1S.BN
do                	VB,VBP            	tu-capi-capili              	do-RED-tandoor
do                	VB,VBP            	tu-daane                    	do-house
do                	VB,VBP            	tu-gaku                     	do-school
do                	VB,VBP            	tu-kua<lre>alre             	do-<RED>breakfast
do                	VB,VBP            	tu-kuaubu                   	do-dinner
do                	VB,VBP            	tu-kudrali                  	do-lunch
do                	VB,VBP            	tu-lalake=su                	do-child=2S.BN
do                	VB,VBP            	tu-lrisi                    	do-ceremony
do                	VB,VBP            	tu-suape                    	do-broom
do                	VB,VBP            	tu-supate                   	do-four
do                	VB,VBP            	tu-tai-ane                  	do-taro-NMLZ
dog               	VB,VBZ            	takurauru                   	dog
dog               	VB,VBZ            	taupngu                     	dog
dog               	VB,VBZ            	taupongu.\                  	dog
dog               	VB,VBZ            	taupugnu                    	dog
dog               	VB,VBZ            	taupung                     	dog
dog               	VB,VBZ            	taupunge                    	dog
dog               	VB,VBZ            	taupunge=ini                	dog=3S.BG
dog               	VB,VBZ            	taupungu                    	dog
dog               	VB,VBZ            	taupungu,_                  	dog
dog               	VB,VBZ            	taupungu.\                  	dog
dog               	VB,VBZ            	taupungu=ini                	dog=3S.BG
dog               	VB,VBZ            	taupungu=ini,\              	dog=3S.BG
dog               	VB,VBZ            	taupungu=ini.\              	dog=3S.BG
dog               	VB,VBZ            	taupunug                    	dog
dog               	VB,VBZ            	tawpong                     	dog
dog               	VB,VBZ            	tawpong=ini                 	dog=3S.BG
dominate          	VB                	a-kelrete-ane               	NMLZ-dominate-NMLZ
dominate          	VB                	kelre-kelrete.\             	RED-dominate
dominate          	VB                	kelrete-ane                 	dominate-NMLZ
dominate          	VB                	w-a-kelre-kelrete,\         	ACT-RLS-RED-dominate
dowry             	VBZ               	<L2M^pinliL2M>,\            	dowry
dowry             	VBZ               	^pinliL2M>.\                	dowry
dowry             	VBZ               	raruku^drane,\              	dowry
dowry             	VBZ               	raruku^drane.\              	dowry
dowry             	VBZ               	rarukudrane                 	dowry
dowry             	VBZ               	rarukudrane,\               	dowry
dowry             	VBZ               	rarukudrane.\               	dowry
dowry             	VBZ               	rarukudrane==,\             	dowry
dowry             	VBZ               	rarukudrane==,_             	dowry
dowry             	VBZ               	tatulrevagane               	dowry
dry               	JJ                	ka-mea-meael-ane            	real-RED-dry-NMZ
dry               	JJ                	mu-ka-mea-meale             	go-KA-RED-dry
dry               	JJ                	mu-ka-mea-meale-ane         	go-KA-RED-dry-NMLZ
dry               	JJ                	mu-kameameale               	go-KA-RED-dry
duck              	JJ                	haimai                      	duck
early             	JJ                	sara-ape-apece              	early-RED-sleep
easy              	JJ                	ka-matuaduay.\              	STAT.IRR-easy
eat               	VB,VBP            	a-kane-ane                  	NMLZ-eat-NMLZ
eat               	VB,VBP            	a-kane-ane,\                	NMLZ-eat-NMLZ
eat               	VB,VBP            	a-kane-kane                 	NMLZ-RED-eat
eat               	VB,VBP            	kane                        	eat
eat               	VB,VBP            	kane-ane                    	eat-NMLZ
eat               	VB,VBP            	kane-kane                   	RED-eat
eat               	VB,VBP            	kane-kane=lini              	RED-eat=3P.BG
eat               	VB,VBP            	kane.\                      	eat
eat               	VB,VBP            	kane=numi                   	eat=2P.BN
eat               	VB,VBP            	kanea                       	eat
eat               	VB,VBP            	ki-pa-kane                  	PASS-CAUS-eat
eat               	VB,VBP            	la-kane-ane                 	P-eat-NMLZ
eat               	VB,VBP            	lri-kane-ane                	FUT-eat-RED-eat
eat               	VB,VBP            	lu-kane                     	when-eat
eat               	VB,VBP            	sa-kane-^kane,\             	NMLZ-RED-eat
eat               	VB,VBP            	sa-kane-kane,\              	NMLZ-eat-NMLZ
eat               	VB,VBP            	sa-kane-kane==,\            	NMLZ-RED-eat
eat               	VB,VBP            	ta-kane-ane-ane             	NMLZ-eat-RED-NMLZ
eat               	VB,VBP            	ta-kane-kane-ane            	NMLZ-RED-eat-NMLZ
eat               	VB,VBP            	ta-kane-kane-ane,\          	NMLZ-RED-eat-NMLZ
eat               	VB,VBP            	taku-kane-kane              	simultaneously-RED-eat
eat               	VB,VBP            	taku-kane-kane              	while-RED-eat
eat               	VB,VBP            	w-a-kane                    	ACT-RLS-eat
emphasize         	VBP               	tukuciacingalre=numi        	emphasize=2P.BN
engage            	VB                	jiaowang                    	engage
engage            	VB                	kitu<lreve>lrevege,_        	<RED>engage
engage            	VB                	tu-a-siasi^lange-ane,\      	make-RLS-NMLZ-engage-NMLZ
engage            	VB                	tu-a-siasi^lange-ane.\      	make-RLS-NMLZ-engage-NMLZ
engage            	VB                	tu-a-siasilange-ane         	make-RLS-NMLZ-engage-NMLZ
engage            	VB                	tu-a-siasilange-ane,_       	make-RLS-NMLZ-engage-NMLZ
enjoy             	VB                	sia-<va>vava                	enjoy-<RED>toy
enjoy             	VB                	sia-vava                    	enjoy-toy
enough            	JJ                	ma-kakelrete                	STAT.RLS-enough
enter             	VB,VBP            	jindao                      	enter
escape            	VB,VBP            	mu-bere.\                   	go-escape
escape            	VB,VBP            	mu<a>bere                   	<RLS>escape
escape            	VB,VBP            	ngi-lribate                 	NGI-escape
escape            	VB,VBP            	pa-uadripi                  	CAUS-escape
escape            	VB,VBP            	ubelre                      	escape
escape            	VB,VBP            	ubere                       	escape
escape            	VB,VBP            	wa-udri-udripi              	RLS-RED-escape
escort            	VB                	sateatedre                  	escort
escort            	VB                	w-a-sateatedre.\            	ACT-RLS-escort
fall              	VB,VBP            	ca-cilri                    	Ca-fall
fall              	VB,VBP            	lri-mua-dreke=su,_          	FUT-go-fall==2S.BN
fall              	VB,VBP            	makakai                     	fall
fall              	VB,VBP            	mu-a-cilri                  	go.RLS-fall
fall              	VB,VBP            	mu-a-dreke                  	go-RLS-fall
fall              	VB,VBP            	mu-a-dreke.\                	go-RLS-fall
fall              	VB,VBP            	mu-adreke                   	go-fall
fall              	VB,VBP            	mu-ruru                     	go-fall
fall              	VB,VBP            	na-muadreke                 	PFV-go-fall
fall              	VB,VBP            	ngu-adreke                  	REFL-fall
fall              	VB,VBP            	pa-ucilri                   	CAUS-fall
fall              	VB,VBP            	pa-ucilri-cilri             	CAUS-fall-RED
fall              	VB,VBP            	pa-ururu                    	CAUS-fall
fall              	VB,VBP            	sa-ngu-cilri                	when-REFL-fall
fall              	VB,VBP            	t-ururu                     	T-fall
fall              	VB,VBP            	tu-a-verevere               	toward-RLS-fall
fall              	VB,VBP            	tu-verevere                 	toward-fall
fell              	VBD               	gugu                        	fell
female            	JJ                	a<ba><ba>babay              	<RED><RED>female
female            	JJ                	a^babay.\                   	female
female            	JJ                	ababai,\                    	female
female            	JJ                	ababay                      	female
female            	JJ                	ababay,\                    	female
female            	JJ                	ababay,_                    	female
female            	JJ                	ababay-ane.\                	female-NMLZ
female            	JJ                	ababay-ane=su,_             	female-NMLZ=2S.BG
female            	JJ                	ababay.\                    	female
female            	JJ                	ababay=su                   	female=2S.BN
female            	JJ                	ki                          	side-female-NMLZ
female            	JJ                	kuini                       	female
female            	JJ                	la-ababay                   	P-female
female            	JJ                	la-abaiay                   	PL-female
female            	JJ                	la-maliali                  	PL-female
female            	JJ                	la-maliali,\                	PL-female
female            	JJ                	la-maliali.\                	PL-female
fight             	VB                	ki-ka-ruburu-buru           	KI-STAT.IRR-fight-RED
fill              	VB                	a-pa-sute-ane               	A-CAUS-fill-NMLZ
fill              	VB                	maka-surakele=nga           	POSS.MOD-fill=PFV
fill              	VB                	suragele                    	fill
find              	VB                	maka-kidringay              	RECP-find
find              	VB                	sila-silape                 	RED-find
find              	VB                	silape,\                    	find
finish            	VBP               	pangimya                    	finish
finish            	VBP               	pianga                      	finish
finish            	VBP               	taku-vavea                  	finish-one
finish            	VBP               	tu-a-lrepeng=aku.\          	make-RLS-finish=1S.BN
finish            	VBP               	tu-a-lrepenge=^aku.\        	TU-RLS-finish=1S.BN
finish            	VBP               	tulrepenge                  	finish
finish            	VBP               	wanbiL2M>                   	finish
first             	JJ                	ka-tuase-ana                	STAT.IRR-leave-first
first             	JJ                	ki-a-saulri-ana             	PASS-RLS-return-first
first             	JJ                	pa-asuala-la-nga            	CAUS-first-LA-PFV
first             	JJ                	palribulu-ana               	help-first
first             	JJ                	pararubu-ana                	help-first
first             	JJ                	siludu-ana                  	pick.up-first
flap              	VB                	visi-visi                   	RED-flap
follow            	VB                	kabibibilrili               	follow
follow            	VB                	lapatupapalraw              	follow
follow            	VB                	pa-tu-pa-palra              	along-TU-RED-follow
follow            	VB                	pa-tuapapala                	CAUS-follow
follow            	VB                	patua-pa-pala               	meanwhile-RED-follow
follow            	VB                	tapiapiane                  	follow
follow            	VB                	tu-<pa>-palra               	<RED>-follow
follow            	VB                	tu-pa-pa-palra              	TU-RED-RED-follow
follow            	VB                	tu-palra                    	TU-follow
follow            	VB                	tu-papara                   	TU-follow
follow            	VB                	tu<a><pa>palra              	<RLS><RED>follow
follow            	VB                	tu<pa>palra                 	<RED>follow
follow            	VB                	tupala-pala                 	follow
follow            	VB                	tupalra                     	follow
follow            	VB                	tupapalra                   	follow
forget            	VB                	marimuriuru                 	forget
frightened        	JJ,VBD            	ma-kiucu                    	STAT.RLS-frightened
frightened        	JJ,VBD            	ngi-tuluku                  	REFL-frightened
frightened        	JJ,VBD            	tuluku                      	frightened
frightened        	JJ,VBD            	uguludru                    	frightened
gentle            	JJ                	ma-sulrapele                	STAT.RLS-gentle
gentle            	JJ                	ma=-sulraulrapele,_         	STAT.RLS-gentle
gentle            	JJ                	ta-ka-sulrap-ane=su         	NMLZ-STAT.IRR-gentle-NMLZ=2S.BG
get               	VB,VBP            	a-ki-a-angatu-ane.\         	NMLZ-get-RLS-wood-NMLZ
get               	VB,VBP            	dao                         	get
get               	VB,VBP            	de                          	get
get               	VB,VBP            	ki                          	get
get               	VB,VBP            	ki-a-a^ngatu,\              	get-RLS-wood
get               	VB,VBP            	ki-a-ka<mura>muraw          	get-RLS-<RED>pomelo
get               	VB,VBP            	ki-a-kamadha-madha          	get-RLS-mango-RED
get               	VB,VBP            	ki-a-kamadhamadha           	get-RLS-mango-RED
get               	VB,VBP            	ki-a-kamurauraw             	get-RLS--pomelo
get               	VB,VBP            	ki-barasi=nay               	get-stone=1P(EX).BN
get               	VB,VBP            	ki-becenge                  	get-millet
get               	VB,VBP            	ki-enai=nay                 	get-stone=1P(EX).BN
get               	VB,VBP            	ki-kamadha-madha            	get-mango-RED
get               	VB,VBP            	ki-kamadha=li               	get-mango=1S.BG
get               	VB,VBP            	ki-suape                    	get-broom
get               	VB,VBP            	ki-suape                    	get-swipe
get               	VB,VBP            	ki-suape-ane                	get-sweep-NMLZ
get               	VB,VBP            	ki-tai                      	get-taro
get               	VB,VBP            	ki-urasi                    	get-sweet.potato
get               	VB,VBP            	pa-ki-a-angatu=su.\         	CAUS-get-RLS-wood=2S.BN
get               	VB,VBP            	ta-ki-bece-becenge-ane.\    	LOC-get-RED-millet-NMLZ
girl              	JJ                	ababay                      	girl
girl              	JJ                	alisu                       	girl
girl              	JJ                	alisu,\                     	girl
girl              	JJ                	apapai                      	girl
give              	VB                	a-baai-ane                  	NMLZ-give-NMLZ
give              	VB                	a-baai-ane=li               	A-give-NMLZ=1S.BG
give              	VB                	ba-bai=ini                  	RED-give=3S.BG
give              	VB                	baai                        	give
give              	VB                	baai=ini                    	give=3S.BG
give              	VB                	bai                         	give
give              	VB                	bai,\                       	give
give              	VB                	bai-ane                     	give-NMLZ
give              	VB                	gei                         	give
give              	VB                	ki-baai=lini                	PASS-give=3P.BG
give              	VB                	ni                          	give
give              	VB                	w-a-bai                     	ACT-RLS-give
give              	VB                	w-a-bai,\                   	ACT-RLS-give
go                	VB,VBP            	a-u-pa-palange-ane=nay.\    	A-go-RED-court-NMLZ=1EPL.GEN
go                	VB,VBP            	ana-mu-a=su                 	ANA-go-IMP=2S.BN
go                	VB,VBP            	i-mu-adringi=nga            	LOC-go-inside=PFV
go                	VB,VBP            	ila                         	go
go                	VB,VBP            	ila-ta                      	go-1P(IN).BN
go                	VB,VBP            	lri-mu-gaku=nay             	FUT-go-school=1P(EX).BN
go                	VB,VBP            	lri-mua-ane                 	FUT-go-NMLZ
go                	VB,VBP            	lri-mua-dreke=su,_          	FUT-go-fall==2S.BN
go                	VB,VBP            	lri-mua=aku                 	FUT-go=1S.BN
go                	VB,VBP            	lri-tara-mua=aku            	FUT-NEC.MOD-go=1S.BN
go                	VB,VBP            	matuase=nay                 	go
go                	VB,VBP            	mu                          	go
go                	VB,VBP            	mu,_                        	go
go                	VB,VBP            	mu-a                        	go-REAL
go                	VB,VBP            	mu-a                        	go-RLS
go                	VB,VBP            	mu-a-adringi                	go-REAL-inside
go                	VB,VBP            	mu-a-belenge                	go-RLS-above
go                	VB,VBP            	mu-a-bungubungu             	go-RLS-collide
go                	VB,VBP            	mu-a-dreke                  	go-RLS-fall
go                	VB,VBP            	mu-a-dreke.\                	go-RLS-fall
go                	VB,VBP            	mu-a-dri-adringi            	go-RLS-RED-inside
go                	VB,VBP            	mu-a-dringa-dringay         	go-RLS-RED-good
go                	VB,VBP            	mu-a-ganganga               	go-RLS-wide.open
go                	VB,VBP            	mu-a-gogo                   	go-RLS-pour
go                	VB,VBP            	mu-a-inu                    	go-RLS-where
go                	VB,VBP            	mu-a-inu-a=ini              	go-RLS-where-why=3S.BG
go                	VB,VBP            	mu-a-inua=ini               	go-REAL-where=3S.BN
go                	VB,VBP            	mu-a-ka-lava                	go-REAL-state-wait
go                	VB,VBP            	mu-a-kicacai<cai><cai>ri    	go-RLS-<RED><RED>mess.around
go                	VB,VBP            	mu-a-lecege                 	go-RLS-decent
go                	VB,VBP            	mu-a-lecege,_               	go-RLS-decent
go                	VB,VBP            	mu-a-lecege.\               	go-RLS-decent
go                	VB,VBP            	mu-a-lralra                 	go-RLS-put.off
go                	VB,VBP            	mu-a-lriki-lriki=li         	go-RLS-RED-bike=1S.BG
go                	VB,VBP            	mu-a-lriki-lrikili          	go-RLS-RED-bicycle
go                	VB,VBP            	mu-a-lriki-lrikili          	go-RLS-RED-bike
go                	VB,VBP            	mu-a-ngi-talaisi            	go-RLS-REFL-swing
go                	VB,VBP            	mu-a-pungupungu             	go-RLS-bump
